Countries,Years,Status,Lifeexpectancy,AdultMortality,infantdeaths,Alcohol,HepatitisBVacc,Measles,BMI>25%,under-fivedeaths,Polio,Totalexpenditure,Diphtheria,HIV/AIDS,thinness1-19years,thinness5-9years,Incomecompositionofresources,Schooling
AntiguaandBarbuda,55,0,75.6,138,0,7.84,98,0,44.4,0,99,5.63,98,0.1,3.3,3.3,0.783,14.1
AntiguaandBarbuda,56,0,75.4,140,0,7.82,98,0,43.8,0,98,4.86,99,0.1,3.4,3.3,0.788,14.2
AntiguaandBarbuda,57,0,75.2,142,0,8.27,98,0,43.2,0,99,4.69,99,0.1,3.4,3.3,0.786,14.4
AntiguaandBarbuda,58,0,75,144,0,8.64,97,0,42.6,0,98,4.27,99,0.1,3.4,3.3,0.781,14.5
AntiguaandBarbuda,59,0,74.8,145,0,8.93,99,0,42,0,99,4.34,99,0.1,3.4,3.4,0.773,14.7
Argentina,60,0,76.2,118,8,7.93,94,1,62.2,9,92,4.79,94,0.1,1,0.9,0.825,17.3
Argentina,61,0,76,119,8,8.28,94,0,61.6,10,99,4.99,94,0.1,1,0.9,0.823,17.3
Argentina,62,0,75.9,120,9,8.35,91,2,61,10,99,5.2,91,0.1,1,0.9,0.822,17.2
Argentina,63,0,75.7,120,9,8.11,91,3,6.4,10,93,5.89,91,0.1,1,0.9,0.816,17.1
Argentina,64,0,75.5,121,10,8.15,94,17,59.8,11,95,6.55,94,0.1,1,0.9,0.802,16.8
Argentina,65,0,75.6,126,10,8.33,94,3,59.2,11,97,7.63,94,0.1,1,0.9,0.794,16.5
Argentina,66,0,75.4,126,10,8.41,90,0,58.6,11,94,6.66,93,0.1,1,0.9,0.792,16.3
Argentina,67,0,74.8,129,10,8.16,85,0,58,12,92,6.49,91,0.1,1.1,0.9,0.788,16.3
Argentina,68,0,75.2,127,11,7.75,84,0,57.5,12,92,6.68,91,0.1,1.1,0.9,0.782,16.1
Argentina,69,0,74.9,127,11,7.53,88,0,56.9,12,95,6.85,98,0.1,1.1,1,0.78,16.3
Argentina,70,0,74.7,130,11,7.63,81,0,56.3,12,91,6.84,98,0.1,1.1,1,0.775,16.3
Argentina,71,0,74.1,137,11,7.62,73,0,55.7,13,95,8.22,96,0.1,1.2,1,0.77,16.4
Argentina,72,0,74.1,138,12,7.81,66,0,55.1,13,94,8.31,93,0.1,1.2,1,0.776,16.3
Armenia,73,0,74.6,120,1,3.91,93,13,54.1,1,95,4.48,93,0.1,2.1,2.1,0.739,12.7
Armenia,74,0,74.4,123,1,3.79,95,10,53.3,1,96,4.55,95,0.1,2.1,2.1,0.736,12.7
Armenia,75,0,74.4,121,1,3.89,95,0,52.6,1,96,4.48,95,0.1,2,2.1,0.732,12.7
Armenia,76,0,73.9,128,1,4.09,95,0,51.9,1,96,3.71,95,0.1,2,2.1,0.729,12.7
Armenia,77,0,73.5,132,1,4.23,94,2,51.2,1,96,4.56,94,0.1,2,2.1,0.72,12.3
Armenia,78,0,73.3,137,1,3.96,93,0,50.7,1,94,4.55,93,0.1,2,2.1,0.725,11.9
Armenia,79,0,73.2,140,1,3.96,89,0,50.7,1,91,3.8,89,0.1,2,2.1,0.721,12.3
Armenia,80,0,73.5,132,1,3.99,85,1,49.7,1,90,4.31,88,0.1,2,2.1,0.707,11.7
Armenia,81,0,72.9,141,1,4.01,78,137,49.2,1,87,4.58,87,0.1,2,2.1,0.692,11.2
Armenia,82,0,73,137,1,4.25,91,2281,48.8,1,92,5.25,90,0.1,2,2.1,0.679,10.9
Armenia,83,0,73,132,1,3.81,91,1783,48.4,1,93,5.5,91,0.1,2,2.1,0.668,10.9
Armenia,84,0,72.7,134,1,3.03,93,4,48.1,1,96,5.56,94,0.1,2,2.1,0.657,10.8
Armenia,85,0,72.6,134,1,2.86,91,40,47.8,1,96,5.4,94,0.1,2.1,2.1,0.645,10.8
Armenia,86,0,72.6,141,1,2.86,69,69,47.4,1,97,5.94,94,0.1,2.1,2.1,0.644,11.1
Armenia,87,0,72,142,1,2.9,55,15,47.1,1,96,6.25,93,0.1,2.1,2.2,0.639,11.2
Australia,88,1,82.7,60,1,9.71,91,340,66.1,1,92,9.42,92,0.1,0.6,0.6,0.936,20.4
Australia,89,1,82.5,61,1,9.87,91,158,65.5,1,91,9.36,91,0.1,0.6,0.6,0.933,20.3
Australia,90,1,82.3,61,1,10.03,91,199,65,1,92,9.36,92,0.1,0.6,0.6,0.93,20.1
Australia,91,1,82,63,1,10.3,92,190,64.4,1,92,9.2,92,0.1,0.6,0.6,0.927,19.8
Australia,92,1,81.9,64,1,10.52,92,70,63.9,1,92,9.2,92,0.1,0.7,0.6,0.927,19.5
Australia,93,1,81.7,66,1,10.62,94,104,63.4,1,92,9.5,92,0.1,0.7,0.6,0.925,19.1
Australia,94,1,81.3,66,1,10.76,94,65,62.9,1,92,8.78,92,0.1,0.7,0.6,0.921,19.1
Australia,95,1,81.3,66,1,10.56,94,11,62.5,2,92,8.53,92,0.1,0.7,0.6,0.918,19
Australia,96,1,81.2,66,1,10.31,95,0,62,2,92,8.49,92,0.1,0.7,0.6,0.915,20.3
Australia,97,1,81,67,1,10.3,95,10,61.5,2,92,8.45,92,0.1,0.7,0.6,0.91,20.3
Australia,98,1,86,69,1,9.84,95,70,60.9,1,92,8.57,92,0.1,0.7,0.6,0.908,20.7
Australia,99,1,83,71,1,9.97,95,91,60.3,1,92,8.32,93,0.1,0.7,0.7,0.905,20.6
Australia,100,1,79.9,73,1,9.84,95,32,59.6,2,92,8.39,92,0.1,0.7,0.7,0.902,20.1
Australia,101,1,79.9,75,1,9.53,94,141,59,2,91,8.18,92,0.1,0.7,0.7,0.899,20.5
Austria,102,1,81.4,66,0,12.32,98,117,57.1,0,98,11.21,98,0.1,1.8,2,0.892,15.9
Austria,103,1,81.1,68,0,11.82,95,0,56.6,0,95,11.14,95,0.1,1.8,2,0.887,15.7
Austria,104,1,88,70,0,12.26,92,36,56.1,0,92,11.17,92,0.1,1.8,2,0.884,15.7
Austria,105,1,88,73,0,12.04,89,68,55.7,0,89,10.94,89,0.1,1.7,2,0.88,15.7
Austria,106,1,84,75,0,12.1,86,52,55.2,0,86,11.17,86,0.1,1.7,1.9,0.872,15.4
Austria,107,1,82,77,0,11.3,83,49,54.7,0,83,11.19,83,0.1,1.7,1.9,0.87,15.3
Austria,108,1,84,76,0,12,83,448,54.2,0,83,10.6,83,0.1,1.7,1.9,0.864,15.1
Austria,109,1,81,80,0,12.5,85,20,53.7,0,85,10.4,85,0.1,1.7,1.9,0.86,15.2
Austria,110,1,79.8,81,0,12.4,83,23,53.2,0,83,10.35,83,0.1,1.7,1.9,0.854,15
Austria,111,1,79.4,85,0,12.4,86,9,52.7,0,86,10.53,86,0.1,1.7,1.9,0.848,14.9
Austria,112,1,79.3,86,0,12.1,83,15,52.2,0,83,10.56,83,0.1,1.7,1.9,0.841,14.7
Austria,113,1,78.8,88,0,12.2,83,90,51.7,0,84,10.48,84,0.1,1.7,1.9,0.837,14.7
Austria,114,1,78.7,90,0,12.5,81,0,51.2,0,82,10.27,83,0.1,1.7,1.9,0.847,16.1
Austria,115,1,78.6,92,0,12.4,44,0,50.6,0,83,10.12,84,0.1,1.7,1.9,0.837,15.5
Austria,116,1,78.1,96,0,13.2,33,0,50.1,0,71,10.6,81,0.1,1.7,1.9,0.833,15.4
Azerbaijan,117,0,72.5,119,5,0.01,94,0,51.5,6,97,6.4,94,0.1,2.8,2.9,0.752,12.2
Azerbaijan,118,0,72.2,121,5,2.14,93,164,50.6,6,96,5.54,93,0.1,2.8,2.8,0.745,11.9
Azerbaijan,119,0,71.9,123,5,0.01,88,0,49.7,6,92,5.37,89,0.1,2.8,2.8,0.742,11.8
Azerbaijan,120,0,71.6,125,5,1.98,84,0,48.8,6,91,5.1,87,0.1,2.8,2.9,0.741,11.7
Azerbaijan,121,0,71.1,130,5,1.98,80,0,48,6,85,5.33,81,0.1,2.8,2.9,0.737,11.7
Azerbaijan,122,0,78,132,6,2.1,74,0,47.3,6,84,5.85,81,0.1,2.8,2.9,0.728,11.6
Azerbaijan,123,0,73,141,6,1.18,68,5,46.6,6,85,4.37,81,0.1,2.8,2.9,0.719,11.6
Azerbaijan,124,0,73,140,6,1.02,62,0,45.9,7,81,5.1,79,0.1,2.8,2.9,0.708,11.6
Azerbaijan,125,0,69.2,154,6,0.85,52,222,45.3,7,80,6.17,78,0.1,2.9,2.9,0.682,10.7
Azerbaijan,126,0,68.4,162,6,0.73,49,1238,44.7,7,79,7.86,75,0.1,2.9,3,0.675,11.2
Azerbaijan,127,0,68.4,154,6,0.62,50,827,44.2,8,78,7.92,77,0.1,3,3,0.668,11
Azerbaijan,128,0,67.8,154,7,0.55,51,1978,43.6,8,79,6.56,77,0.1,3,3,0.659,10.8
Azerbaijan,129,0,67.8,146,7,0.55,50,4353,43.1,9,80,4.47,76,0.1,3.1,3.1,0.651,10.6
Bahamas,130,0,75.4,160,0,9.45,96,0,63.8,0,96,7.74,96,0.1,2.5,2.5,0.789,12.6
Bahamas,131,0,74.8,172,0,9.42,97,0,63.2,0,97,7.5,97,0.1,2.5,2.5,0.79,12.6
Bahamas,132,0,74.9,167,0,9.5,96,0,62.6,0,99,7.43,98,0.2,2.5,2.5,0.789,12.6
Bahamas,133,0,75,162,0,9.34,95,0,62,0,97,7.63,98,0.1,2.5,2.5,0.788,12.6
Bahamas,134,0,75,161,0,9.19,98,0,61.3,0,97,7.44,99,0.2,2.5,2.5,0.788,12.6
Bahamas,135,0,74.6,168,0,9.29,95,0,60.7,0,97,7.43,96,0.1,2.5,2.5,0.791,12.6
Bahamas,136,0,74.5,167,0,10.15,90,0,60.1,0,93,7.3,93,0.1,2.5,2.5,0.791,12.6
Bahamas,137,0,74.4,167,0,10.75,93,0,59.4,0,95,7.8,95,0.1,2.5,2.5,0.79,12.5
Bahamas,138,0,74.2,171,0,11.07,96,0,58.7,0,94,6.93,95,0.1,2.5,2.5,0.788,12.4
Bahamas,139,0,74.1,172,0,10.49,93,0,58.1,0,93,5.95,93,0.1,2.6,2.5,0.786,12.4
Bahamas,140,0,73.8,174,0,10.1,93,0,57.4,0,92,6.2,93,0.1,2.6,2.5,0.784,12.3
Bahamas,141,0,73.2,189,0,10.68,88,0,56.7,0,93,5.62,92,0.1,2.6,2.5,0.783,12.2
Bahamas,142,0,73.1,190,0,10.85,89,0,56,0,93,5.26,94,0.1,2.6,2.6,0.781,12.1
Bahamas,143,0,72.9,189,0,11.64,21,0,55.2,0,98,5.15,99,0.2,2.7,2.6,0.779,12.1
Bahrain,144,0,76.8,70,0,1.57,98,46,62.9,0,98,4.98,98,0.1,6.1,6,0.82,14.5
Bahrain,145,0,76.7,70,0,1.65,99,0,62.2,0,99,4.69,99,0.1,6.1,6,0.815,14.5
Bahrain,146,0,76.5,71,0,1.7,99,0,61.5,0,99,4.37,99,0.1,6.1,6,0.812,14.5
Bahrain,147,0,76.1,76,0,1.66,99,0,60.8,0,99,3.4,99,0.1,6.1,6,0.812,14.4
Bahrain,148,0,76.1,73,0,1.93,99,0,60.1,0,99,3.64,99,0.1,6,5.9,0.81,14.4
Bahrain,149,0,76,74,0,1.95,98,3,59.3,0,97,3.79,98,0.1,6,5.9,0.814,14.4
Bahrain,150,0,75.8,76,0,2,97,2,58.5,0,97,3.17,97,0.1,6,5.9,0.815,14.4
Bahrain,151,0,75.6,77,0,2,97,7,57.6,0,97,3.8,97,0.1,6.1,5.9,0.813,14.4
Bahrain,152,0,75.5,79,0,2.1,98,3,56.8,0,98,3.8,98,0.1,6.1,5.9,0.81,14.2
Bahrain,153,0,75.3,81,0,2.05,98,4,56.1,0,98,3.16,98,0.1,6.1,5.9,0.806,14
Bahrain,154,0,75.2,83,0,2.16,98,11,55.6,0,98,3.37,98,0.1,6.1,5.9,0.803,13.9
Bahrain,155,0,75,85,0,2.16,98,12,55.2,0,97,3.74,97,0.1,6.1,5.9,0.798,13.7
Bahrain,156,0,74.9,87,0,1.99,98,8,55,0,98,3.89,98,0.1,6.2,5.9,0.796,13.5
Bahrain,157,0,74.7,90,0,1.95,99,5,54.8,0,99,3.8,99,0.1,6.2,6,0.794,13.3
Bahrain,158,0,74.5,92,0,2.15,97,6,54.5,0,97,3.51,97,0.1,6.2,6,0.786,13.2
Bangladesh,159,0,71.4,132,98,0.01,97,289,17.7,121,97,2.82,97,0.1,18.1,18.6,0.57,10
Bangladesh,160,0,71,135,104,0.01,96,237,17,130,96,2.88,96,0.1,18.3,18.8,0.565,10
Bangladesh,161,0,77,137,111,0.01,94,1986,16.4,139,94,3.8,94,0.1,18.5,19,0.557,9.9
Bangladesh,162,0,73,140,118,0.01,96,5625,15.8,150,96,3.16,96,0.1,18.7,19.2,0.545,9.4
Bangladesh,163,0,69.9,142,126,0.01,94,788,15.2,161,94,3.6,94,0.1,18.9,19.4,0.535,8.9
Bangladesh,164,0,69.5,144,135,0.01,97,718,14.6,173,97,2.91,97,0.1,19.1,19.7,0.523,8.4
Bangladesh,165,0,69.1,147,144,0.01,96,2660,14,186,96,2.85,96,0.1,19.3,19.9,0.52,8.6
Bangladesh,166,0,68.6,151,154,0.01,95,2924,13.5,201,96,2.8,94,0.1,19.5,2.1,0.513,8.6
Bangladesh,167,0,68.2,152,164,0.01,86,6192,13,215,95,2.8,94,0.1,19.7,2.3,0.506,8.4
Bangladesh,168,0,67.8,155,174,0.01,45,25934,12.5,231,94,2.68,93,0.1,19.9,2.5,0.499,8.2
Bangladesh,169,0,67.3,158,185,0.01,11,9743,12,247,88,2.62,99,0.1,2.1,2.7,0.491,8.1
Bangladesh,170,0,66.8,161,196,0.01,5,4067,11.6,264,90,2.51,87,0.1,2.3,2.9,0.484,7.9
Barbados,171,0,75.4,100,0,8.82,94,0,53.7,0,95,7.47,94,0.1,3.8,3.7,0.793,15.3
Barbados,172,0,75.2,101,0,8.74,91,0,53,0,91,7.57,91,0.1,3.8,3.8,0.792,15.3
Barbados,173,0,75.1,102,0,8.61,87,0,52.2,0,88,7.43,87,0.1,3.8,3.8,0.785,15.3
Barbados,174,0,74.9,104,0,8.51,91,0,51.4,0,91,6.67,91,0.1,3.8,3.8,0.78,15.5
Barbados,175,0,74.7,106,0,8.41,86,0,50.7,0,90,6.17,86,0.1,3.8,3.8,0.781,15.8
Barbados,176,0,74.6,109,0,8.46,93,0,49.9,0,93,6.21,93,0.1,3.8,3.8,0.779,15.5
Barbados,177,0,74.4,111,0,8.95,85,0,49.2,0,85,6.1,85,0.1,3.9,3.9,0.775,15.3
Barbados,178,0,74.2,113,0,8.47,93,0,48.4,0,93,5.64,93,0.1,3.9,3.9,0.771,15
Barbados,179,0,74.1,115,0,8.39,84,0,47.7,0,85,5.27,84,0.1,4,3.9,0.766,14.8
Barbados,180,0,73.9,117,0,8.01,92,0,46.9,0,91,5.38,92,0.1,4,4,0.761,14.6
Barbados,181,0,73.8,119,0,7.68,93,0,46.2,0,93,5.71,93,0.2,4.1,4,0.757,14.4
Barbados,182,0,73.7,121,0,7.65,91,0,45.4,0,90,5.82,89,0.4,4.1,4.1,0.753,14.2
Barbados,183,0,73.5,123,0,7.59,66,0,44.6,0,86,5.76,87,0.8,4.2,4.1,0.749,14
Barbados,184,0,73.4,125,0,7.38,18,0,43.8,0,93,5.47,84,0.7,4.2,4.2,0.75,14
Belarus,185,0,72,199,0,13.94,97,64,61.7,0,97,5.69,97,0.1,1.9,2,0.796,15.7
Belarus,186,0,71.7,203,0,14.66,98,16,61.1,1,98,6.7,98,0.1,2,2,0.796,15.7
Belarus,187,0,71.9,194,0,16.35,97,10,60.5,1,98,5.1,98,0.1,2,2.1,0.793,15.6
Belarus,188,0,72,232,0,17.31,98,50,59.9,1,98,4.92,98,0.1,2,2.1,0.787,15.5
Belarus,189,0,73,222,0,14.44,96,1,59.3,1,99,5.55,98,0.1,2,2.2,0.78,15.5
Belarus,190,0,70,226,0,14.09,98,0,58.7,1,98,6.9,96,0.1,2.1,2.2,0.771,15.4
Belarus,191,0,70,224,1,14.67,98,0,58.2,1,98,5.95,97,0.1,2.1,2.3,0.755,15.1
Belarus,192,0,69.8,226,1,14.22,91,1,57.7,1,90,6.44,95,0.1,2.2,2.3,0.739,14.9
Belarus,193,0,68.9,243,1,12.6,98,149,57.2,1,97,6.34,99,0.1,2.2,2.4,0.723,14.6
Belarus,194,0,68.1,252,1,11.01,99,1,56.7,1,98,6.89,99,0.1,2.3,2.5,0.713,14.4
Belarus,195,0,68.2,247,1,12.05,99,2,56.2,1,99,6.59,99,0.1,2.4,2.5,0.703,14.1
Belarus,196,0,67.7,253,1,11.17,56,21,55.8,1,53,6.59,50,0.1,2.5,2.6,0.695,13.9
Belarus,197,0,67.2,262,1,12.23,99,14,55.3,1,99,6.47,99,0.1,2.5,2.7,0.687,13.6
Belarus,198,0,67.7,254,1,10.74,93,45,54.9,1,99,6.62,99,0.1,2.6,2.7,0.681,13.3
Belarus,199,0,68,247,1,12.98,70,21,54.4,1,99,6.13,99,0.1,2.7,2.8,0.675,13.1
Belgium,200,1,89,76,0,12.6,98,70,63.4,1,99,10.59,99,0.1,1,1,0.89,16.3
Belgium,201,1,87,77,0,11.77,98,39,63,1,99,10.57,99,0.1,1,0.9,0.889,16.3
Belgium,202,1,83,78,0,10.08,98,109,62.6,1,99,10.54,99,0.1,0.9,0.9,0.886,16.2
Belgium,203,1,83,80,0,10.11,97,576,62.3,1,98,10.42,98,0.1,0.9,0.9,0.884,16.1
Belgium,204,1,80,81,0,10.22,97,40,61.9,1,98,10.17,98,0.1,0.9,0.9,0.878,15.9
Belgium,205,1,79.8,85,0,10.05,97,33,61.6,1,98,10.39,98,0.1,0.9,0.9,0.876,15.8
Belgium,206,1,79.5,87,0,10.47,98,98,61.3,1,99,9.6,99,0.1,0.8,0.8,0.874,15.8
Belgium,207,1,79.5,86,0,10.25,94,64,60.9,1,99,9.25,98,0.1,0.8,0.8,0.871,15.8
Belgium,208,1,79.4,85,0,10.98,94,15,60.6,1,99,9.17,98,0.1,0.8,0.8,0.865,15.7
Belgium,209,1,78.9,89,0,12.27,77,26,60.2,1,97,9.24,97,0.1,0.8,0.8,0.861,15.7
Belgium,210,1,78.8,91,1,12.05,64,61,59.8,1,96,9.32,95,0.1,0.8,0.8,0.88,18.8
Belgium,211,1,78.3,95,0,11.28,64,44,59.4,1,96,9.3,95,0.1,0.8,0.8,0.878,18.6
Belgium,212,1,78,99,1,11.29,60,0,59,1,96,8.46,95,0.1,0.8,0.8,0.875,18.8
Belgium,213,1,78,100,1,11.01,60,83,58.5,1,96,8.29,95,0.1,0.8,0.8,0.873,18.2
Belgium,214,1,77.6,101,1,11.21,60,0,58.1,1,96,8.12,95,0.1,0.8,0.8,0.869,18
Belize,215,0,70,177,0,6.58,95,0,50.1,0,95,5.79,95,0.2,3.4,3.4,0.705,12.8
Belize,216,0,69.8,180,0,6.56,95,0,49.3,0,95,5.79,95,0.2,3.4,3.4,0.706,12.9
Belize,217,0,69.4,189,0,6.66,98,0,48.5,0,98,5.45,98,0.1,3.5,3.4,0.702,12.5
Belize,218,0,69.4,188,0,6.64,95,0,47.8,0,95,5.61,95,0.5,3.5,3.4,0.7,12.4
Belize,219,0,69.5,186,0,6.76,96,0,47,0,96,5.85,96,0.2,3.5,3.4,0.7,12.4
Belize,220,0,69.5,184,0,6.85,97,0,46.3,0,98,5.81,97,0.3,3.5,3.4,0.7,12.7
Belize,221,0,69.6,181,0,7.22,94,0,45.7,0,94,5.9,94,0.1,3.5,3.4,0.699,12.8
Belize,222,0,69.6,181,0,7.24,96,0,45,0,97,4.76,96,0.6,3.5,3.5,0.7,12.8
Belize,223,0,69.4,184,0,6.48,98,0,44.4,0,98,4.4,98,0.6,3.6,3.5,0.692,12.3
Belize,224,0,69,191,0,6.25,96,0,43.8,0,96,4.45,96,0.8,3.6,3.5,0.695,12.8
Belize,225,0,68.7,197,0,6.2,97,0,43.2,0,97,4.39,97,0.8,3.6,3.5,0.691,12.5
Belize,226,0,68.4,201,0,5.67,96,0,42.6,0,95,4.53,96,1.5,3.6,3.6,0.684,12.2
Belize,227,0,68.5,199,0,4.99,97,0,42,0,93,4.38,89,0.1,3.7,3.6,0.678,11.9
Belize,228,0,68.2,201,0,4.9,96,0,41.4,0,96,4.5,96,0.4,3.7,3.7,0.677,11.8
Belize,229,0,68.3,196,0,4.79,76,0,40.8,0,91,3.98,91,0.3,3.8,3.7,0.668,11.7
Benin,230,0,59.7,252,25,0.01,78,786,25.2,39,74,4.59,78,1.1,7.1,6.9,0.475,10.7
Benin,231,0,59.5,251,25,0.01,77,637,24.6,39,73,4.59,77,1.2,7.2,7.1,0.466,10.3
Benin,232,0,59.3,251,25,0.01,80,288,24.1,39,80,4.86,80,1.3,7.4,7.3,0.458,10
Benin,233,0,59.1,251,25,1.4,75,426,23.5,39,77,5.37,75,1.4,7.6,7.5,0.454,9.8
Benin,234,0,58.7,254,25,1.33,76,392,23,39,77,4.95,76,1.4,7.8,7.6,0.451,9.5
